"Country, Others",State,Continent,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Total Cases / 1M Polulation,Deaths / 1M Population,Total Tests,Tests / 1M Population,Population,1 Case ever X People,1 Death ever X People,1 Test ever X People
Bahrain,,Asia,"18,227",+514,41 ,+4,"12,818",+627,"5,368",18,"10,735",24,"418,413","246,431","1,697,893",93,"41,412",4
Japan,,Asia,"17,382",,924 ,,"15,580",,878,76,137,7,"336,161","2,658","126,492,732","7,277","136,897",376
Armenia,,Asia,"16,667",+663,269 ,+5,"6,214",+133,"10,184",10,"5,625",91,"82,324","27,784","2,962,996",178,"11,015",36
Panama,,North America,"20,059",,429 ,,"13,759",,"5,871",96,"4,653",100,"89,736","20,814","4,311,253",215,"10,050",48
Iraq,,Asia,"20,209","+1,259",607 ,+58,"8,121",+606,"11,481",128,503,15,"369,870","9,207","40,172,534","1,988","66,182",109
Oman,,Asia,"23,481","+1,404",104 ,+5,"8,454",+924,"14,923",100,"4,605",20,"139,760","27,408","5,099,223",217,"49,031",36
Afghanistan,,Asia,"24,766",+664,471 ,+20,"4,725",+524,"19,570",19,637,12,"55,981","1,440","38,879,781","1,570","82,547",695
Dominican Republic,,North America,"22,962",+390,592 ,+15,"13,320",+236,"9,050",124,"2,118",55,"107,175","9,885","10,842,611",472,"18,315",101
Philippines,,Asia,"25,930",+538,"1,088 ",+14,"5,954",+248,"18,888",82,237,10,"506,626","4,626","109,507,509","4,223","100,650",216
Switzerland,,Europe,"31,117",+23,"1,938 ",,"28,800",,379,15,"3,597",224,"458,933","53,046","8,651,628",278,"4,464",19
Ukraine,,Europe,"31,154",+648,889 ,+9,"14,082",+106,"16,183",314,712,20,"489,334","11,186","43,744,419","1,404","49,206",89
Poland,,Europe,"29,392",+375,"1,247 ",+10,"14,226",+122,"13,919",83,777,33,"1,188,742","31,408","37,848,394","1,288","30,352",32
Ireland,,Europe,"25,295",,"1,705 ",,"22,698",,892,28,"5,126",345,"367,780","74,524","4,935,066",195,"2,894",13
Argentina,,South America,"30,295",,819 ,+4,"9,564",+481,"19,912",274,671,18,"234,370","5,188","45,175,755","1,491","55,160",193
Romania,,Europe,"21,999",+320,"1,410 ",+16,"15,719",+84,"4,870",165,"1,143",73,"560,596","29,133","19,242,854",875,"13,647",34
Kuwait,,Asia,"35,920",+454,296 ,+7,"26,759",+877,"8,865",171,"8,417",69,"334,612","78,412","4,267,336",119,"14,417",13
Portugal,,Europe,"36,690",+227,"1,517 ",+5,"22,669",+231,"12,504",73,"3,598",149,"975,737","95,680","10,197,961",278,"6,722",10
Indonesia,,Asia,"38,277",+857,"2,134 ",+43,"14,531",+755,"21,612",,140,8,"514,287","1,881","273,381,886","7,142","128,108",532
Ecuador,,South America,"46,356",,"3,874 ",,"22,865",,"19,617",219,"2,629",220,"134,141","7,609","17,629,274",380,"4,551",131
UAE,,Asia,"42,294",+304,289 ,+1,"27,462",+701,"14,543",1,"4,279",29,"2,626,000","265,670","9,884,452",234,"34,202",4
Netherlands,,Europe,"48,783",+143,"6,059 ",+2,N/A,N/A,N/A,77,"2,847",354,"455,067","26,561","17,133,178",351,"2,828",38
Egypt,,Africa,"42,980",,"1,484 ",,"11,529",,"29,967",41,420,15,"135,000","1,321","102,231,323","2,379","68,889",757
Sweden,,Europe,"51,614",+38,"4,874 ",,N/A,N/A,N/A,272,"5,112",483,"325,000","32,190","10,096,321",196,"2,071",31
Colombia,,South America,"48,746",,"1,592 ",,"19,426",,"27,728",335,959,31,"482,832","9,494","50,856,291","1,043","31,945",105
France,,Europe,"156,813",,"29,398 ",,"72,808",,"54,607",871,"2,403",450,"1,384,633","21,215","65,267,057",416,"2,220",47
Singapore,,Asia,"40,604",+407,26 ,,"29,589",+781,"10,989",2,"6,943",4,"488,695","83,564","5,848,152",144,"224,929",12
Belgium,,Europe,"60,029",+111,"9,655 ",+5,"16,589",+42,"33,785",82,"5,181",833,"1,024,302","88,399","11,587,314",193,"1,200",11
Belarus,,Europe,"53,973",+732,308 ,+5,"30,103",+992,"23,562",92,"5,712",33,"733,788","77,654","9,449,458",175,"30,680",13
Mexico,,North America,"142,690","+3,494","16,872 ",+424,"104,975","+3,208","20,843",378,"1,107",131,"401,755","3,118","128,866,423",903,"7,638",321
Chile,,South America,"167,355",,"3,101 ",,"137,296",,"26,958","1,656","8,758",162,"819,999","42,913","19,108,331",114,"6,162",23
Turkey,,Asia,"176,677",,"4,792 ",,"150,087",,"21,798",684,"2,096",57,"2,586,995","30,690","84,294,508",477,"17,591",33
Nigeria,,Africa,"15,682",,407 ,,"5,101",,"10,174",7,76,2,"90,464",439,"205,850,206","13,127","505,774","2,275"
